url,name,sector,govt,discipline,province,city
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Shaheed-Zulfiqar-Ali-Bhutto-Medical-University.aspx,Shaheed Zulfiqar Ali Bhutto Medical University,Public,Government of Pakistan,Medical,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Zulfiqar-Ali-Bhutto-University-of-Law.aspx,Shaheed Zulfiqar Ali Bhutto University of Law,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Shifa-Tameer-e-Millat-University.aspx,Shifa Tameer-e-Millat University,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/Shuhada-e-Army-Public-School-University-of-Technology%2C-Nowshera.aspx,Shuhada-e-Army Public School University of Technology  Nowshera,Public,Government of Khyber Pakhtunkhwa,Engineering & Technology,Khyber Pakhtunkhwa,Nowshehra,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sindh-Agriculture-University.aspx,Sindh Agriculture University  Tandojam,Public,Government of Sindh,General,Sindh,Hyderabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sindh-Institute-of-Management-and-Technology.aspx,Sindh Institute of Management & Technology (Admissions allowed only at LS 37/10 Sector-15  Main Korangi Industrial  Karachi in specific departements Maximum intake 40 till December 2022),Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sindh-Institute-of-Medical-Sciences.aspx,Sindh Institute of Medical Sciences,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sindh-Madresatul-Islam-University.aspx,Sindh Madresatul Islam University,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/SSIT.aspx,Sir Syed (CASE) Institute of Technology  Islamabad,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sir-Syed-University-of-Engineering--Technology.aspx,Sir Syed University of Engineering & Technology,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sohail-University%2C-Karachi.aspx,Sohail University  Karachi,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Sukkur-Institute-of-Business-Administration.aspx,Sukkur Institute of Business Administration,Public,Government of Sindh,General,Sindh,Sukkur,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Textile-Institute-of-Pakistan.aspx,Textile Institute of Pakistan,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/BUMHS.aspx,The Bolan University of Medical and Health Sciences  Quetta,Public,Government of Balochistan,Medical,Balochistan,Quetta,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Green-International-University.aspx,The Green International University  Lahore,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/The Islamia-College.aspx,The Islamia College  Peshawar,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Sindh/The-Shaikh-Ayaz-University%2C-Shikarpur.aspx,The Shaikh Ayaz University  Shikarpur Sindh,Public,Government of Sindh,General,Sindh,Shikarpur,
https://www.hec.gov.pk/english/universities/Pages/Punjab/The-Superior-College.aspx,The Superior College,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/The-University-of-Agriculture-Peshawar.aspx,The University of Agriculture Peshawar,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/The-University-of-Faisalabad.aspx,The University of Faisalabad,Private,Government of Punjab,General,Punjab,Faisalabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/The-University-of-Lakki-Marwat.aspx,The University of Lakki Marwat,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Lakki Marwat,
https://www.hec.gov.pk/english/universities/Pages/Punjab/The-Women-University.aspx,The Women University,Public,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Times-Institute.aspx,Times Institute  Multan,Private,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Agriculture.aspx,University of Agriculture,Public,Government of Punjab,General,Punjab,Faisalabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/University-of-Art-and-Culture.aspx,University of Art and Culture  Jamshoro,Private,Government of Sindh,Arts & Design,Sindh,Jamshoro,
https://www.hec.gov.pk/english/universities/Pages/AJK/University-of-Azad-Jammu--Kashmir.aspx,University of Azad Jammu & Kashmir,Public,Government of AJK,General,Azad Jammu & Kashmir,Muzaffarabad,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/University-of-Balochistan.aspx,University of Balochistan,Public,Government of Balochistan,General,Balochistan,Quetta,
https://www.hec.gov.pk/english/universities/Pages/Gilgit Baltistan/University-of-Baltistan.aspx,University of Baltistan  Skardu,Public,Government of Pakistan,General,Gilgit Baltistan,Skardu,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Buner.aspx,University of Buner,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Bunair,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Central-Punjab.aspx,University of Central Punjab,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Chakwal.aspx,University of Chakwal  Chakwal,Public,Government of Punjab,General,Punjab,Chakwal,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Chitral.aspx,University of Chitral,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Chitral,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Education.aspx,University of Education,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Engineering--Technology.aspx,University of Engineering & Technology,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Engineering--Technology.aspx,University of Engineering & Technology,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Engineering--Technology-Mardan.aspx,University of Engineering & Technology (UET)  Mardan,Public,Government of Khyber Pakhtunkhwa,Engineering & Technology,Khyber Pakhtunkhwa,Mardan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Engineering--Technology%2C-Taxila.aspx,University of Engineering & Technology  Taxila,Public,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-FATA.aspx,University of FATA,Public,Government of Pakistan,General,Khyber Pakhtunkhwa,Kohat,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Gujrat.aspx,University of Gujrat,Public,Government of Punjab,General,Punjab,Gujrat,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Haripur.aspx,University of Haripur,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Haripur,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Health-Sciences.aspx,University of Health Sciences,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Home-Economics-Lahore.aspx,University of Home Economics  Lahore,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Jhang.aspx,University of Jhang,Public,Government of Punjab,General,Punjab,Jhang,
https://www.hec.gov.pk/english/universities/Pages/Sindh/University-of-Karachi.aspx,University of Karachi,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/AJK/University-of-Kotli-AJK.aspx,University of Kotli Azad Jammu and Kashmir,Public,Government of AJK,General,Azad Jammu & Kashmir,Kotli,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Lahore.aspx,University of Lahore,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/University-of-Loralai.aspx,University of Loralai,Public,Government of Balochistan,General,Balochistan,Loralai,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Malakand.aspx,University of Malakand,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Malakand,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Management--Technology.aspx,University of Management & Technology,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Mianwali.aspx,University of Mianwali,Public,Government of Punjab,General,Punjab,Mianwali,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Narowal.aspx,University of Narowal,Public,Government of Punjab,General,Punjab,Narowal,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Okara.aspx,University of Okara,Public,Government of Punjab,General,Punjab,Okara,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Peshawar.aspx,University of Peshawar,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Sahiwal.aspx,University of Sahiwal,Public,Government of Punjab,General,Punjab,Sahiwal,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Sargodha.aspx,University of Sargodha,Public,Government of Punjab,General,Punjab,Sargodha,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Science--Technology.aspx,University of Science & Technology,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Bannu,
https://www.hec.gov.pk/english/universities/Pages/Punjab/UniversityofSialkot.aspx,University of Sialkot  Sialkot,Private,Government of Punjab,General,Punjab,Sialkot,
https://www.hec.gov.pk/english/universities/Pages/Sindh/University-of-Sindh.aspx,University of Sindh,Public,Government of Sindh,General,Sindh,Jam Shoro,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-South-Asia.aspx,University of South Asia,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Sindh/USMS-Bhitshah.aspx,University of Sufism and Modern Sciences  Bhitshah Sindh,Public,Government of Sindh,General,Sindh,Bhit Shah,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Swabi.aspx,University of Swabi,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Swabi,
https://www.hec.gov.pk/english/universities/Pages/KPK/University-of-Swat.aspx,University of Swat,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Swat,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/University-of-Turbat.aspx,University of Turbat,Public,Government of Balochistan,General,Balochistan,Turbat,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Veterinary-and-Animal-Sciences.aspx,University of Veterinary & Animal Sciences,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-Wah.aspx,University of Wah,Private,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/AJK/University-of-Poonch.aspx,University of the Poonch  Rawalakot,Public,Government of AJK,General,Azad Jammu & Kashmir,Poonch,
https://www.hec.gov.pk/english/universities/Pages/Punjab/University-of-the-Punjab.aspx,University of the Punjab,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Virtual-University-of-Pakistan.aspx,Virtual University of Pakistan,Public,Government of Pakistan,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/Women University Mardan.aspx,Women University Mardan,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Mardan,
https://www.hec.gov.pk/english/universities/Pages/AJK/Women-University-of-Azad-Jammu-and-Kashmir-.aspx,Women University of Azad Jammu & Kashmir,Public,Government of AJK,General,Azad Jammu & Kashmir,Bagh,
https://www.hec.gov.pk/english/universities/Pages/KPK/Women University%2C Swabi.aspx,Women University  Swabi,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Swabi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Zia-ud-Din-University.aspx,Zia-ud-Din University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/KPK/Brains-Institute-Peshawar.aspx,​​Brains Institute Peshawar,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
